year,inc,fr,po1,po2,redist,state,dist,dexp_cat,rexp_cat,dpres_cat,dvp_cat
a1946,b1,c0,d5,e2,f0,g1,h1,i7,j7,k16,l19
a1946,b1,c0,d5,e2,f0,g1,h2,i7,j7,k16,l19
a1946,b1,c0,d5,e2,f0,g1,h3,i7,j7,k16,l19
a1946,b1,c0,d0,e0,f0,g1,h4,i7,j7,k16,l31
a1946,b1,c1,d5,e2,f0,g1,h5,i7,j7,k16,l19
a1946,b1,c0,d5,e2,f0,g1,h6,i7,j7,k16,l19
a1946,b1,c0,d0,e0,f0,g1,h7,i7,j7,k16,l27
a1946,b1,c0,d0,e0,f0,g1,h8,i7,j7,k16,l19
a1946,b2,c9,d0,e0,f0,g1,h9,i7,j7,k16,l31
a1946,b1,c0,d0,e1,f0,g3,h1,i7,j7,k16,l19
a1946,b1,c0,d0,e1,f0,g3,h2,i7,j7,k16,l19
a1946,b1,c0,d5,e2,f0,g4,h1,i7,j7,k16,l19
a1946,b1,c0,d5,e2,f0,g4,h2,i7,j7,k16,l19
a1946,b1,c1,d5,e2,f0,g4,h3,i7,j7,k16,l26
a1946,b1,c0,d5,e2,f0,g4,h4,i7,j7,k16,l19
a1946,b1,c0,d0,e0,f0,g4,h5,i7,j7,k16,l32
a1946,b1,c0,d5,e2,f0,g4,h6,i7,j7,k16,l19
a1946,b1,c0,d5,e2,f0,g4,h7,i7,j7,k16,l19
a1946,b1,c0,d5,e2,f0,g5,h1,i7,j7,k16,l19
a1946,b1,c0,d5,e2,f0,g5,h2,i7,j7,k16,l26
a1946,b0,c0,d5,e2,f0,g5,h3,i7,j7,k16,l19
a1946,b1,c1,d0,e0,f0,g5,h4,i7,j7,k16,l17
a1946,b0,c0,d5,e2,f0,g5,h5,i7,j7,k16,l19
a1946,b1,c1,d5,e2,f0,g5,h6,i7,j7,k16,l19
a1946,b2,c9,d3,e0,f0,g5,h7,i7,j7,k16,l24
a1946,b0,c0,d5,e2,f0,g5,h8,i7,j7,k16,l10
a1946,b0,c0,d0,e0,f0,g5,h9,i7,j7,k16,l19
a1946,b1,c0,d5,e2,f0,g5,h10,i7,j7,k16,l19
a1946,b1,c0,d1,e0,f0,g5,h11,i7,j7,k16,l23
a1946,b1,c0,d0,e0,f0,g5,h12,i7,j7,k16,l23
a1946,b1,c1,d1,e4,f0,g5,h13,i7,j7,k16,l22
a1946,b1,c1,d1,e4,f0,g5,h14,i7,j7,k16,l19
a1946,b0,c1,d5,e2,f0,g5,h15,i7,j7,k16,l9
a1946,b2,c9,d2,e0,f0,g5,h16,i7,j7,k16,l22
a1946,b1,c0,d5,e2,f0,g5,h17,i7,j7,k16,l19
a1946,b1,c1,d0,e0,f0,g5,h18,i7,j7,k16,l23
a1946,b1,c0,d5,e2,f0,g5,h19,i7,j7,k16,l29
a1946,b0,c0,d1,e4,f0,g5,h20,i7,j7,k16,l12
a1946,b1,c0,d0,e0,f0,g5,h21,i7,j7,k16,l24
a1946,b0,c0,d1,e0,f0,g5,h22,i7,j7,k16,l19
a1946,b1,c0,d0,e0,f0,g5,h23,i7,j7,k16,l23
a1946,b0,c0,d1,e0,f0,g6,h1,i7,j7,k16,l13
a1946,b0,c0,d0,e0,f0,g6,h2,i7,j7,k16,l7
a1946,b0,c0,d0,e0,f0,g6,h3,i7,j7,k16,l10
a1946,b0,c0,d0,e0,f0,g6,h4,i7,j7,k16,l7
