"voterbase_id","score"
"MO-000000001718",0.9978753403
"MO-000000002168",0.937956654
"MO-000000002595",0.985144189
"MO-000000003320",0.949999623
"MO-000000004415",0.993044315
"MO-000000004695",0.9966594784
"MO-000000006070",0.9963265902
"MO-000000010126",0.0156189
"MO-000000010332",0.28649354
"MO-000000011193",0.939773757
"MO-000000011685",0.947018504
"MO-000000011884",0.96417295
"MO-000000011950",0.70834017
"MO-000000012514",0.99921364983
"MO-000000012846",0.986111824
"MO-000000013819",0.03998446
"MO-000000014098",0.84270345
"MO-000000015099",0.990771754
"MO-000000015550",0.9953584555
"MO-000000015570",0.9954504278
"MO-000000015576",0.3140895
"MO-000000015650",0.976710023
"MO-000000015682",0.87233593
"MO-000000015789",0.96679809
"MO-000000015928",0.982455486
"MO-000000015965",0.1838169
"MO-000000016155",0.65209997
"MO-000000016156",0.20760727
"MO-000000016266",0.9940986405
"MO-000000016282",0.981117172
"MO-000000016428",0.9928152375
"MO-000000016435",0.943089407
"MO-000000016846",0.95867972
"MO-000000017017",0.98595025
"MO-000000017076",0.947883494
"MO-000000017686",0.95966466
"MO-000000017825",0.965290304
"MO-000000017901",0.91403097
"MO-000000017912",0.983623657
"MO-000000018231",0.957710844
"MO-000000018333",0.973948814
"MO-000000018647",0.987698154
"MO-000000018941",0.9963056871
"MO-000000019188",0.988291121
"MO-000000019545",0.98391651
"MO-000000019577",0.93277877
"MO-000000019653",0.93595634
"MO-000000019674",0.940096937
"MO-000000020071",0.9954777486
"MO-000000020536",0.19588375
"MO-000000021391",0.92189042
"MO-000000021449",0.88558194
"MO-000000021556",0.997036861
"MO-000000021736",0.994542157
"MO-000000021746",0.992577405
"MO-000000021856",0.988725053
"MO-000000021923",0.980582848
"MO-000000022247",0.989647746
"MO-000000022414",0.992281035
"MO-000000022421",0.9987088074
"MO-000000022462",0.9983539291
"MO-000000022535",0.91126379
"MO-000000022667",0.968958829
"MO-000000022879",0.383039
"MO-000000022891",0.928631134
"MO-000000022921",0.94642986
"MO-000000023447",0.919856064
"MO-000000023625",0.9972294178
"MO-000000023746",0.9935953715
"MO-000000023823",0.97358059
"MO-000000024616",0.967003178
"MO-000000025013",0.9922206346
"MO-000000025320",0.987135332
"MO-000000025471",0.987783129
"MO-000000025746",0.994833296
"MO-000000026006",0.955419183
"MO-000000026477",0.986186524
"MO-000000026960",0.991153804
"MO-000000027099",0.968105063
"MO-000000027183",0.11831903
"MO-000000027317",0.9989419114
"MO-000000027367",0.0520792
"MO-000000027860",0.980800405
"MO-000000028237",0.9982730347
"MO-000000028427",0.90542863
"MO-000000028443",0.9951954787
"MO-000000028453",0.92683778
"MO-000000028455",0.936494984
"MO-000000028766",0.9967240058
"MO-000000028913",0.994791074
"MO-000000028915",0.978236439
"MO-000000029134",0.997636741
"MO-000000029251",0.989729774
"MO-000000030162",0.6679332
"MO-000000030449",0.970280962
"MO-000000030944",0.98322131
"MO-000000031107",0.0156134
"MO-000000031133",0.53410903
"MO-000000031204",0.993849606
"MO-000000031506",0.997910034
"MO-000000031882",0.55695033
"MO-000000032548",0.953033105
"MO-000000032680",0.980342427
"MO-000000032745",0.8932747
"MO-000000032853",0.876282126
"MO-000000033241",0.966206256
"MO-000000034369",0.9951301753
"MO-000000035063",0.941810817
"MO-000000035796",0.9941673633
"MO-000000035886",0.981654894
"MO-000000036015",0.995598517
"MO-000000036220",0.9969484436
"MO-000000036436",0.960197225
"MO-000000036469",0.9953272077
"MO-000000036533",0.992049217
"MO-000000037074",0.988728327
"MO-000000037159",0.05862117
"MO-000000037904",0.955958616
"MO-000000037928",0.987760628
"MO-000000038718",0.97079391
"MO-000000039020",0.965461988
"MO-000000039285",0.959485702
"MO-000000039475",0.9875780055
"MO-000000039867",0.975360936
"MO-000000039974",0.875232615
"MO-000000040153",0.9962312079
"MO-000000040337",0.990442438
"MO-000000040662",0.99680102
"MO-000000040870",0.95120208
"MO-000000040921",0.97336137
"MO-000000040972",0.972528135
"MO-000000041214",0.0402721
"MO-000000041356",0.82253748
"MO-000000041758",0.6760996
"MO-000000042603",0.86335732
"MO-000000042874",0.85422556
"MO-000000043151",0.74276412
"MO-000000043603",0.997154606
"MO-000000043604",0.9956996203
"MO-000000043694",0.909376375
"MO-000000044113",0.9980974969
"MO-000000044627",0.76112585
"MO-000000045102",0.986329347
"MO-000000046543",0.94440755
"MO-000000046590",0.99029135
"MO-000000046634",0.979988476
"MO-000000047186",0.966450155
"MO-000000047690",0.979632916
"MO-000000047754",0.991946302
"MO-000000047870",0.991898847
"MO-000000048774",0.93166978
"MO-000000048855",0.08126855
"MO-000000049478",0.96357073
"MO-000000049875",0.64627782
"MO-000000050185",0.937241875
"MO-000000050592",0.96786428
"MO-000000050686",0.9942832883
"MO-000000050711",0.991220917
"MO-000000050843",0.0597586
"MO-000000051296",0.9988187895
"MO-000000051323",0.5837481
"MO-000000051353",0.99453849
"MO-000000052359",0.03538036
"MO-000000052594",0.965757668
"MO-000000052818",0.90347667
"MO-000000053024",0.86266236
"MO-000000053025",0.9977837338
"MO-000000053165",0.66865748
"MO-000000053166",0.30065197
"MO-000000053181",0.37508076
"MO-000000053365",0.13249284
"MO-000000053701",0.9973483344
"MO-000000054490",0.944767483
"MO-000000054784",0.92480848
"MO-000000055090",0.9963830295
"MO-000000055797",0.98054477
"MO-000000056243",0.886559
"MO-000000056313",0.9974109398
"MO-000000056595",0.9975778759
"MO-000000057197",0.83441633
"MO-000000057672",0.28097737
"MO-000000057788",0.991249717
"MO-000000057968",0.19209677
"MO-000000058100",0.985211924
"MO-000000058656",0.9895388335
"MO-000000058809",0.961643465
"MO-000000059006",0.977635656
"MO-000000059064",0.03443617
"MO-000000059104",0.998699066
"MO-000000059255",0.963776134
"MO-000000059458",0.997181325
"MO-000000059594",0.990556879
"MO-000000059652",0.989744242
"MO-000000059764",0.969253724
"MO-000000059865",0.190463
"MO-000000059880",0.97711997
"MO-000000059926",0.92007813
"MO-000000060658",0.9975773226
"MO-000000060665",0.1052359
"MO-000000060956",0.991938909
"MO-000000061060",0.992831563
"MO-000000061287",0.89368869
"MO-000000061312",0.985326173
"MO-000000061522",0.99020282
"MO-000000061697",0.96798733
"MO-000000061753",0.7846641
"MO-000000063680",0.984055983
"MO-000000063952",0.89071063
"MO-000000064750",0.947144944
"MO-000000064779",0.98524978
"MO-000000064853",0.93172636
"MO-000000065298",0.974719463
"MO-000000065464",0.9958579913
"MO-000000065560",0.9880430885
"MO-000000065828",0.96843274
"MO-000000065911",0.9949994436
"MO-000000066221",0.985038283
"MO-000000066223",0.9974580198
"MO-000000067267",0.979899429
"MO-000000067357",0.93952966
"MO-000000067728",0.9949367526
"MO-000000068170",0.996232321
"MO-000000068218",0.3331801
